artist,artist_id,followers,genres,popularity,type
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,8982982.0,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop",83.0,artist
DaBaby,4r63FhuTkUYltbVAg5TQnk,12974146.0,,77.0,artist
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,37612778.0,,85.0,artist
ArcÃ¡ngel,,,,,
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,15756983.0,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap",81.0,artist
Kygo,23fqKkggKUBHNkbKtXEls4,8671682.0,tropical house,77.0,artist
Sech,77ziqFxp5gaInVrF2lj4ht,12063840.0,"reggaeton, urbano latino",78.0,artist
Quavo,0VRj0yCOv2FXJNP47XQnx5,8105266.0,,77.0,artist
Mac Miller,4LLpKhyESsyAXpc4laK94U,12196853.0,,82.0,artist
50 Cent,3q7HBObVc0L8jNeTe5Gofh,18951237.0,"east coast hip hop, old school hip hop",83.0,artist
Natanael Cano,0elWFr7TW8piilVRYJUe4P,21617352.0,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda",84.0,artist
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,11041698.0,melodic rap,80.0,artist
Elton John,3PhoLpVuITZKcymswpck5b,15588534.0,,81.0,artist
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,15028512.0,,85.0,artist
Tyga,5LHRHt1k9lMyONurDHEdrp,7325534.0,,78.0,artist
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,15754119.0,"reggaeton, pop urbano, latin, colombian pop",81.0,artist
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,26647726.0,"bachata, latin",83.0,artist
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,15749321.0,"emo rap, cloud rap",82.0,artist
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,41296098.0,,78.0,artist
TiÃ«sto,2cG0K3GpoKFnpnXFuYjn7s,4646.0,"lagu timur, maluku",21.0,artist
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,21707844.0,,84.0,artist
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,12465799.0,,77.0,artist
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,25357145.0,"soft pop, pop",80.0,artist
Metallica,2ye2Wgw4gimLv2eAKyk1NB,32266072.0,"metal, thrash metal, rock, heavy metal, hard rock",82.0,artist
Luke Combs,718COspgdWOnwOFpJHRZHS,13431133.0,country,83.0,artist
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,7351195.0,"country, red dirt",85.0,artist
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,12509530.0,,80.0,artist
USHER,23zg3TcAtWQy7J6upgbUnj,13795886.0,r&b,81.0,artist
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,30182599.0,"sertanejo, sertanejo universitário, arrocha, agronejo",85.0,artist
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,9852051.0,,76.0,artist
Justin Timberlake,31TPClRtHm23RisEBtV3X7,15865189.0,,82.0,artist
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,3034935.0,,77.0,artist
Don Omar,33ScadVnbm2X8kkUqOkC6Z,16435559.0,"reggaeton, urbano latino",83.0,artist
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,27287087.0,,78.0,artist
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,56281848.0,k-pop,81.0,artist
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,24361166.0,"colombian pop, reggaeton",78.0,artist
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,9000134.0,melodic rap,78.0,artist
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,9424183.0,"reggaeton, trap latino, urbano latino",80.0,artist
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,15635970.0,"brooklyn drill, new york drill, drill",76.0,artist
Sean Paul,3Isy6kedDrgPYoTS1dazA9,5292280.0,dancehall,82.0,artist
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,9509509.0,,83.0,artist
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,10903317.0,"french house, electronic, electro",82.0,artist
Big Sean,0c173mlxpT3dSFRgMO8XPh,11549429.0,,74.0,artist
Don Toliver,4Gso3d4CscCijv0lmajZWs,7516605.0,,85.0,artist
Luis Miguel,2nszmSgqreHSdJA3zWPyrW,20605783.0,"mariachi, bolero, latin pop, ranchera, villancicos",82.0,artist
AC/DC,711MCceyCBcFnzjGY4Q7Un,32378039.0,"rock, hard rock, classic rock, rock and roll",81.0,artist
Hozier,2FXC3k01G6Gw61bmprjgqS,9129383.0,,82.0,artist
Tate McRae,45dkTj5sMRSjrmBSBeiHym,9347897.0,,89.0,artist
P!nk,6gjAbs229sNHhSskJpQ2mG,882.0,opera,20.0,artist
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,13231764.0,,79.0,artist
James Arthur,4IWBUUAFIplrNtaOHcJPRM,20882073.0,soft pop,79.0,artist
Migos,6oMuImdp5ZcFhWP0ESe6mG,14653658.0,trap,74.0,artist
Flo Rida,0jnsk9HBra6NMjO2oANoPY,8985923.0,,79.0,artist
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,8313609.0,,80.0,artist
Polo G,6AgTAQt8XS6jRWi4sX7w49,13088496.0,,77.0,artist
Akon,1SAObfwYJSC9qgMlCcUVRp,73.0,,7.0,artist
Duki,5yGfPBU9IdpwZjK7WALeCv,1724.0,,34.0,artist
DJ Snake,540vIaP2JwjQb9dm3aArA4,9336895.0,,78.0,artist
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,5329507.0,,79.0,artist
CarÃ­n LeÃ³n,,,,,
Nirvana,6olE6TJLqED3rqDCT0FyPh,23471305.0,"grunge, rock",81.0,artist
Diplo,5fMUXHkw8R8eOP2RNVYEZX,2818219.0,moombahton,78.0,artist
G-Eazy,02kJSzxNuaWGqwubyUba0Z,6302291.0,,75.0,artist
Bizarrap,716NhGYqD1jl2wI1Qkgq36,18240814.0,"argentine trap, trap latino, urbano latino",78.0,artist
MarÃ­lia MendonÃ§a,,,,,
Britney Spears,26dSoYclwsYLMAKD3tpOr4,17826762.0,pop,81.0,artist
Lil Durk,3hcs9uc56yIGFCSy9leWe7,9551706.0,"chicago drill, drill",79.0,artist
Anitta,7FNnA9vBm6EKceENgCGRMb,13251712.0,"brazilian pop, funk pop, brazilian funk, funk carioca",79.0,artist
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,14017522.0,"classic rock, yacht rock, soft rock",84.0,artist
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,6616382.0,,80.0,artist
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,5030842.0,reggaeton,77.0,artist
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,7707400.0,,79.0,artist
