Rank,Artist,Daily Streams,Peak Daily,Monthly Listeners
Mariah Carey,"12,049.9",7.348,"10,933.5","9,154.7"
Quevedo,"12,007.7",6.707,"6,245.4","3,998.6"
Jack Harlow,"11,962.7",4.484,"7,926.6","5,245.7"
Pink Floyd,"11,952.7",5.452,"11,952.7","11,952.7"
Grupo Frontera,"11,897.8",9.040,"7,223.5","1,987.7"
Macklemore,"11,885.6",2.432,"5,872.8",417.9
Banda MS de Sergio LizÃ¡rraga,"11,858.1",5.844,"10,893.2","9,914.2"
5 Seconds of Summer,"11,842.2",3.062,"11,104.4","10,622.3"
Anne-Marie,"11,815.8",2.807,"4,732.0","3,562.9"
ZAYN,"11,752.2",3.917,"10,636.2","5,375.6"
Brent Faiyaz,"11,740.5",5.136,"8,666.5","7,436.0"
Ava Max,"11,726.8",3.539,"7,643.6","7,152.4"
Alessia Cara,"11,725.8",2.438,"6,089.5","5,110.1"
Yandel,"11,705.5",4.180,"5,317.0","1,226.9"
A.R. Rahman,"11,690.1",9.428,"9,883.1",509.4
Mora,"11,664.2",7.086,"8,878.4","3,510.7"
Miguel,"11,655.0",4.649,"6,647.5","4,794.3"
Enrique Iglesias,"11,645.5",3.569,"9,917.0","2,928.9"
Zion & Lennox,"11,583.3",4.101,"4,372.9","2,308.1"
Robin Schulz,"11,517.1",2.173,"6,790.4",350.9
The Rolling Stones,"11,509.9",3.407,"11,492.2","11,306.5"
Zara Larsson,"11,500.2",4.007,"7,650.2","5,685.1"
Tame Impala,"11,434.0",13.145,"10,458.5","10,340.2"
Lauv,"11,415.2",2.057,"10,265.1","7,006.6"
Michael BublÃ©,"11,408.2",4.410,"10,760.0","9,348.4"
Wisin & Yandel,"11,404.0",6.577,"7,669.5","4,738.4"
System Of A Down,"11,383.6",6.337,"11,383.6","11,349.5"
TWICE,"11,249.8",8.189,"11,141.8","10,946.9"
ABBA,"11,235.6",5.697,"11,235.6","11,235.6"
Luis R Conriquez,"11,219.5",7.453,"5,851.2","1,802.9"
John Legend,"11,158.6",2.422,"7,029.4","5,445.3"
Meghan Trainor,"11,101.9",2.631,"9,095.2","7,156.9"
Gusttavo Lima,"11,063.2",5.230,"9,367.7","7,971.9"
