artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count,labels
Nemzzz,3DHtfeD4PsmR9YGhCP4VF7,1579926.0,"uk drill, drill",73.0,artist,"1,809.3",2.184,"1,460.8","1,244.3",492573.0,14.0,7.0,"Amarni Records exclusively licensed to Beatroot LLC, Teboho Sokopo exclusively licensed to Beatroot LLC"
Hiphop Tamizha,7zFBW2JxM4bgTTKxCRcS8Q,12373808.0,"tamil hip hop, tamil pop, kollywood, tamil dance, tamil indie",68.0,artist,"1,808.9",1.122,"1,610.0",209.8,550291.0,14.0,1.0,"Think Music, Super Cassettes Industries Private Limited"
Daughtry,5P5FTygHyx2G57oszR3Wot,2385776.0,nan,65.0,artist,"1,808.4",0.716,"1,790.1","1,752.8",469386.0,16.0,9.0,"& 2015 19 Recordings Limited under exclusive license to RCA Records, 19 Recordings Limited, 19 Recordings Ltd. under exclusive license to RCA Records, a division of Sony Music Entertainment, Dogtree Records under exclusive license to Big Machine Label Group, 19 Recordings Ltd. under exclusive license to RCA/JIVE Label Group, a unit of Sony Music Entertainment, Dogtree Records"
DRAM,7xFAkXgK99h0nlTo1kHagi,121568.0,nan,59.0,artist,"1,805.5",0.225,"1,302.2",206.4,3612935.0,4.0,0.0,"Drama, Ghostly International, DRAMA MUSIC, DRAMA MUSIC INC, distributed by Stem, Glitterbox Recordings under exclusive license from Flight Facilities & Future Classic, Drama Music, DRAMA"
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,1227673.0,trap soul,58.0,artist,"1,618.2",0.247,"1,464.0",735.6,3039340.0,15.0,12.0,"Secret Sound Club, OVO Sound under exclusive license to Santa Anna Label Group"
AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw,1077081.0,german hip hop,62.0,artist,"1,642.5",0.516,"1,348.7",758.0,931135.0,14.0,10.0,"Sonus030, Chapter ONE, XY Records, Plutonium Music"
Brandy,05oH07COxkXKIMt6mIPRee,4130940.0,r&b,67.0,artist,"1,805.2",1.005,"1,366.5",756.4,2576191.0,16.0,6.0,"UNIVERSAL MUSIC LLC, JORYU RECORDS"
Boomdabash,4mAsWDGLUIEdo6imU77WG6,773222.0,nan,54.0,artist,"1,804.3",0.162,"1,609.2",596.7,70240.0,14.0,9.0,Universal Music Italia Srl
Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,1337094.0,nan,66.0,artist,"1,802.9",0.75,"1,603.6","1,291.7",880435.0,14.0,6.0,"Dime Store, Sheryl Crow, Derek and The Dominos, UMG Recordings, Inc., Old Green Barn Productions, LLC under exclusive license to Big Machine Label Group, LLC, Cleopatra Records, Maquette, Plum, Sheryl Crow, Led Zeppelin"
Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,986929.0,nan,59.0,artist,"1,800.5",0.284,"1,696.2","1,351.3",662540.0,16.0,9.0,"Petit Biscuit Music, Écurie"
Dirty Heads,6GkJh85o22LfD2vgL9DP6f,881167.0,"reggae rock, reggae",61.0,artist,"1,797.7",0.383,"1,728.4","1,336.8",716282.0,16.0,8.0,"Endurance Music Group, Better Noise Music"
