artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Marshmello,64KEffDW9EtZ1y2vBYgq8T,34495260.0,edm,80.0,artist,"22,278.1",5.633,"16,511.6","1,639.6",52225092.0,29.0,17.0
Logic,4xRYI6VqpkE3UwrDrAZL8L,6142377.0,nan,71.0,artist,"12,746.5",1.535,"10,208.8","5,473.1",77945599.0,27.0,14.0
Far East Movement,698hF4vcwHwPy8ltmXermq,1106631.0,nan,65.0,artist,"2,119.5",0.742,"1,707.4",7.0,1026259.0,17.0,10.0
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,20363501.0,nan,84.0,artist,"22,222.3",9.963,"18,075.8","16,652.2",50823540.0,22.0,16.0
Junior H,2dyeCWctcFRt3Pha76ONgb,1908403.0,"outlaw country, classic country, country, honky tonk, country rock",67.0,artist,"22,200.3",19.059,"14,179.5","10,703.0",736213.0,7.0,0.0
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,26601402.0,nan,81.0,artist,"22,086.4",6.852,"19,103.9","16,937.0",14801204.0,21.0,9.0
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,17371449.0,rap,83.0,artist,"21,726.1",8.152,"12,753.7","5,205.7",55730751.0,25.0,0.0
Blueface,3Fl1V19tmjt57oBdxXKAjJ,6855192.0,nan,64.0,artist,"2,925.5",0.597,"1,619.5",864.7,6824455.0,14.0,7.0
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,20109996.0,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",90.0,artist,"20,560.9",24.37,"15,039.4","8,220.8",593067.0,15.0,4.0
Calle 24,6dLuQ5qXxIuWc5urxfIiZR,2885124.0,"corrido, corridos tumbados, corridos bélicos, electro corridos, sad sierreño",77.0,artist,"3,495.5",4.259,"2,310.0",663.8,614974.0,12.0,0.0
Chino Pacas,2rmkQLzj0k4nZdQehOUByO,5238172.0,"corrido, corridos tumbados, corridos bélicos, música mexicana",76.0,artist,"4,694.0",3.45,"1,932.2","1,302.2",476166.0,5.0,0.0
mgk,6gjAbs229sNHhSskJpQ2mG,882.0,opera,20.0,artist,"12,448.9",3.584,"10,717.8","4,223.5",16156462.0,20.0,7.0
PRO8L3M,7v49oVVUhvIQG5EK0jkcF7,1101405.0,nan,71.0,artist,"1,528.6",1.598,"1,426.3","1,179.0",1953797.0,16.0,0.0
Jamby El Favo,128ftF9X7Kd7Di2fq3wYVs,1968218.0,trap latino,65.0,artist,"1,268.2",0.82,607.5,396.8,242602.0,11.0,3.0
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,26786200.0,pop,92.0,artist,"19,614.9",26.71,"17,936.8","17,728.6",24300736.0,19.0,16.0
Avicii,1vCWHaC5f2uS3yhpwWbIA6,23443839.0,edm,79.0,artist,"19,488.9",4.877,"18,729.8","13,123.3",7834875.0,21.0,15.0
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,18735475.0,soft pop,82.0,artist,"19,421.9",6.687,"17,933.3","16,014.9",12300448.0,19.0,11.0
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,23274504.0,"funk rock, alternative rock, rock",83.0,artist,"19,401.1",8.927,"19,401.1","19,400.0",13720553.0,18.0,13.0
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,8982982.0,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop",83.0,artist,"19,304.6",8.275,"18,458.3","15,040.2",22188701.0,36.0,7.0
