artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Def Leppard,5685552.0,"glam metal, glam rock, classic rock",69.0,artist,"2,598.7",1.322,"2,598.7","2,576.0",625658.0,6.0,6.0
Kordhell,1437778.0,"phonk, drift phonk",66.0,artist,"2,596.1",0.707,"2,380.0","2,097.7",45628.0,4.0,4.0
Neil Young,3348079.0,"classic rock, folk rock, singer-songwriter, roots rock",70.0,artist,"2,595.0",1.453,"2,569.8","2,105.9",954754.0,3.0,3.0
INXS,88.0,nan,23.0,artist,"2,592.0",1.203,"2,563.4","2,551.5",483783.0,8.0,8.0
Julio Iglesias,3600483.0,bolero,70.0,artist,"2,591.6",1.51,"2,442.7","2,040.6",53138.0,4.0,4.0
REI AMI,295553.0,nan,87.0,artist,"2,587.8",12.795,97.9,88.8,41914.0,1.0,1.0
Pashanim,1259900.0,german hip hop,72.0,artist,"2,583.8",1.785,"2,374.3","2,108.7",733862.0,7.0,7.0
Coolio,1903327.0,"west coast hip hop, g-funk",69.0,artist,"2,581.1",1.221,"2,565.9",196.2,80988.0,4.0,4.0
JC Reyes,1548147.0,flamenco urbano,76.0,artist,"2,577.8",3.584,"1,687.2",234.9,8958.0,2.0,2.0
Majid Jordan,1011264.0,nan,66.0,artist,"2,575.0",0.788,"1,017.5",616.3,949799.0,10.0,10.0
Marca MP,2821354.0,"corrido, banda, corridos tumbados, sierreño, sad sierreño, corridos bélicos, música mexicana",65.0,artist,"2,572.1",0.855,"2,230.1","1,913.1",116990.0,2.0,2.0
Ronnie Flex,609197.0,nederpop,67.0,artist,"2,569.6",0.886,726.0,132.6,180558.0,3.0,3.0
MKTO,1103046.0,nan,62.0,artist,"2,559.1",0.458,"2,536.1","2,487.7",1696345.0,10.0,10.0
Lupe Fiasco,1986047.0,nan,67.0,artist,"2,553.9",0.979,"2,024.9",879.2,632029.0,2.0,2.0
Fonseca,3465472.0,"colombian pop, latin pop",69.0,artist,"2,552.8",1.105,"2,066.8","1,609.8",79725.0,8.0,8.0
Ray Charles,2633997.0,"jazz blues, soul, soul blues, blues, classic soul, vocal jazz",68.0,artist,"2,550.7",1.368,"2,498.7","2,213.1",763750.0,4.0,4.0
